Company,TypeName,Ram,OpSys,Weight,Price_euros,Screen,IPS Screen,Screen PPI,Cpu_brand,HDD,SSD,Gpu brand,os
Asus,Ultrabook,8,Windows 10,1.3,1193,NormalScreen,Yes,157.3505121,Intel Core i7,0,256,Nvidia,Windows
MSI,Gaming,16,Windows 10,2.2,1299,NormalScreen,No,141.2119981,Intel Core i7,1000,256,Nvidia,Windows
Lenovo,Notebook,8,Windows 10,1.58,1480,NormalScreen,Yes,157.3505121,Intel Core i7,0,256,Intel,Windows
Asus,Ultrabook,16,Windows 10,1.5,1262,NormalScreen,No,141.2119981,Intel Core i7,1000,256,Nvidia,Windows
Dell,Ultrabook,8,Windows 10,1.23,1379,TouchScreen,No,276.0535301,Intel Core i7,0,256,Intel,Windows
Lenovo,2 in 1 Convertible,8,Windows 10,1.37,1399,TouchScreen,Yes,165.6321181,Intel Core i5,0,256,Intel,Windows
HP,Notebook,4,Windows 10,1.63,722,NormalScreen,Yes,111.9352036,Intel Core i5,500,0,Intel,Windows
Dell,Ultrabook,8,Windows 10,1.21,1629,NormalScreen,Yes,165.6321181,Intel Core i5,0,256,Intel,Windows
HP,2 in 1 Convertible,8,Windows 10,1.26,1398.99,TouchScreen,Yes,165.6321181,Intel Core i5,0,256,Intel,Windows
HP,Notebook,8,Windows 10,1.63,1084,NormalScreen,No,157.3505121,Intel Core i7,0,512,Intel,Windows
Dell,Notebook,8,Windows 10,2.16,1130.33,NormalScreen,Yes,141.2119981,Intel Core i7,1000,256,Nvidia,Windows
Asus,Notebook,4,Windows 10,2,564,NormalScreen,No,127.3356746,Intel Core i3,1000,0,Nvidia,Windows
Asus,Notebook,8,Windows 10,1.7,1118,NormalScreen,No,141.2119981,Intel Core i7,0,256,Nvidia,Windows
Acer,Notebook,6,Windows 10,2.1,479,TouchScreen,Yes,141.2119981,Intel Core i3,1000,0,Intel,Windows
MSI,Gaming,16,Windows 10,1.8,2241.5,NormalScreen,No,141.2119981,Intel Core i7,2000,256,Nvidia,Windows
Lenovo,Notebook,8,No OS,2.2,629,NormalScreen,No,141.2119981,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
HP,Notebook,16,Windows 10,2.5,1271,NormalScreen,No,127.3356746,Intel Core i7,0,512,Nvidia,Windows
Acer,Notebook,4,Windows 10,2.1,451,NormalScreen,No,100.4546699,AMD Processor,0,256,AMD,Windows
HP,Notebook,4,No OS,1.86,259,NormalScreen,No,100.4546699,Other Intel Processor,500,0,Intel,Others/No OS/Linux
HP,Notebook,8,Windows 10,1.63,812,NormalScreen,No,157.3505121,Intel Core i5,1000,0,Intel,Windows
Asus,Notebook,4,Windows 10 S,1.65,277.99,NormalScreen,No,111.9352036,AMD Processor,0,64,AMD,Windows
Dell,Notebook,16,Windows 10,2.8,1396,NormalScreen,No,127.3356746,Intel Core i7,2000,256,AMD,Windows
HP,Notebook,8,Windows 10,2.5,928,NormalScreen,No,127.3356746,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,Windows 10,2.36,638.99,NormalScreen,No,100.4546699,Intel Core i5,1000,0,AMD,Windows
Dell,Notebook,4,Windows 10,2.2,449,NormalScreen,No,141.2119981,Intel Core i3,1000,0,AMD,Windows
Acer,Ultrabook,8,Windows 10,1.6,884,NormalScreen,Yes,157.3505121,Intel Core i7,0,256,Intel,Windows
Acer,Notebook,4,Windows 10,2.2,572,NormalScreen,No,141.2119981,Intel Core i3,0,256,Nvidia,Windows
HP,Notebook,8,Windows 10,2.05,598,NormalScreen,No,100.4546699,Intel Core i7,1000,0,Intel,Windows
HP,Notebook,8,Windows 10,1.63,988,NormalScreen,No,157.3505121,Intel Core i7,0,256,Intel,Windows
Lenovo,Notebook,4,No OS,1.9,252.36,NormalScreen,No,100.4546699,Other Intel Processor,1000,0,Intel,Others/No OS/Linux
Asus,Gaming,8,Windows 10,3,938,NormalScreen,No,127.3356746,Intel Core i5,1000,128,Nvidia,Windows
Lenovo,Notebook,4,No OS,2.2,499,NormalScreen,No,141.2119981,Intel Core i5,1000,0,Nvidia,Others/No OS/Linux
HP,Notebook,4,Windows 10,1.32,699,NormalScreen,Yes,165.6321181,Intel Core i5,0,256,Intel,Windows
Acer,Notebook,4,Windows 10,3,655,NormalScreen,Yes,127.3356746,Intel Core i3,1000,0,Nvidia,Windows
Lenovo,Notebook,8,Windows 10,1.75,1116.02,NormalScreen,Yes,157.3505121,Intel Core i5,0,256,AMD,Windows
Lenovo,Gaming,8,No OS,2.4,869,NormalScreen,Yes,141.2119981,Intel Core i7,0,256,Nvidia,Others/No OS/Linux
Toshiba,Notebook,4,Windows 10,2.1,602,NormalScreen,No,100.4546699,Intel Core i5,500,0,Intel,Windows
HP,Notebook,4,Windows 10,1.86,369,NormalScreen,No,100.4546699,AMD Processor,0,256,AMD,Windows
Asus,Ultrabook,8,Windows 10,1.25,1099,NormalScreen,No,157.3505121,Intel Core i7,0,256,Intel,Windows
HP,Ultrabook,8,Windows 10,0.97,2014,TouchScreen,Yes,352.4651472,Other Intel Processor,0,512,Intel,Windows
Asus,Notebook,4,Windows 10,2,344,NormalScreen,No,141.2119981,Other Intel Processor,1000,0,Intel,Windows
MSI,Gaming,16,Windows 10,2.9,2029,NormalScreen,No,127.3356746,Intel Core i7,1000,256,Nvidia,Windows
Acer,Notebook,4,Windows 10,2.1,447,NormalScreen,No,100.4546699,Intel Core i3,1000,0,Intel,Windows
Dell,Gaming,16,Windows 10,2.56,1249.26,NormalScreen,No,141.2119981,Intel Core i7,0,512,Nvidia,Windows
Dell,Gaming,8,Windows 10,2.62,899,NormalScreen,No,141.2119981,Intel Core i7,0,0,Nvidia,Windows
Lenovo,Notebook,4,Windows 10,1.9,498,NormalScreen,No,100.4546699,Intel Core i5,0,128,Intel,Windows
MSI,Gaming,16,Windows 10,2.8,1890,NormalScreen,No,127.3356746,Intel Core i7,1000,256,Nvidia,Windows
HP,Ultrabook,4,Windows 10,1.48,1082,NormalScreen,No,157.3505121,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,Windows 10,1.91,619,NormalScreen,No,141.2119981,Intel Core i5,0,256,AMD,Windows
Lenovo,2 in 1 Convertible,4,Windows 10,1.74,629,TouchScreen,Yes,157.3505121,Intel Core i3,0,256,Intel,Windows
Asus,2 in 1 Convertible,8,Windows 10,1.1,1315,TouchScreen,No,165.6321181,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,8,Windows 10,1.56,1049,TouchScreen,No,141.2119981,Intel Core i7,0,256,Intel,Windows
Toshiba,Notebook,4,Windows 10,2.1,447,NormalScreen,No,100.4546699,Intel Core i3,500,0,Intel,Windows
Asus,Notebook,4,Windows 10,2.03,403,NormalScreen,No,100.4546699,AMD Processor,1000,0,AMD,Windows
Acer,Notebook,4,Windows 10,3,805,NormalScreen,Yes,127.3356746,Intel Core i5,0,256,Nvidia,Windows
Dell,Notebook,8,Windows 10,2.13,728,NormalScreen,No,141.2119981,Intel Core i5,0,256,AMD,Windows
Lenovo,Gaming,16,Windows 10,2.5,1079,NormalScreen,Yes,141.2119981,Intel Core i7,0,256,Nvidia,Windows
Acer,Notebook,4,Windows 10,2.1,348,NormalScreen,No,100.4546699,Other Intel Processor,1000,0,Intel,Windows
MSI,Gaming,16,Windows 10,2.4,1799,NormalScreen,Yes,141.2119981,Intel Core i7,1000,256,Nvidia,Windows
Acer,Notebook,4,Windows 10,2.1,363.51,NormalScreen,No,100.4546699,Other Intel Processor,1000,0,Intel,Windows
Dell,Gaming,8,Windows 10,2.56,1060.49,NormalScreen,No,141.2119981,Intel Core i7,1000,128,Nvidia,Windows
Acer,Notebook,8,Windows 10,3,854,NormalScreen,Yes,127.3356746,Intel Core i5,0,256,Nvidia,Windows
HP,Notebook,4,Windows 10,1.49,754,NormalScreen,Yes,165.6321181,Intel Core i5,500,0,Intel,Windows
Huawei,Ultrabook,8,Windows 10,1.05,1349,NormalScreen,Yes,199.6920706,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,Windows 10,2.71,699,NormalScreen,Yes,127.3356746,Intel Core i5,2000,0,AMD,Windows
Lenovo,Notebook,4,No OS,2.2,309,NormalScreen,No,100.4546699,AMD Processor,500,0,AMD,Others/No OS/Linux
Toshiba,Notebook,4,Windows 10,2,489,NormalScreen,No,100.4546699,Intel Core i3,500,0,Intel,Windows
HP,Notebook,8,Windows 10,2.5,923,NormalScreen,No,127.3356746,Intel Core i5,0,256,Nvidia,Windows
Dell,Notebook,8,Windows 10,2.3,459,NormalScreen,No,100.4546699,Intel Core i3,1000,0,Intel,Windows
Acer,Notebook,4,Windows 10,2.1,449,NormalScreen,No,100.4546699,Intel Core i3,0,128,Intel,Windows
MSI,Gaming,32,Windows 10,4.4,2799,NormalScreen,No,119.7232158,Intel Core i7,1000,512,Nvidia,Windows
Lenovo,Notebook,8,Windows 10,1.9,813,NormalScreen,No,141.2119981,Intel Core i5,1000,128,AMD,Windows
HP,2 in 1 Convertible,8,Windows 10,1.29,1499,TouchScreen,Yes,331.2642361,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,16,Linux,2.02,1049,NormalScreen,No,141.2119981,Intel Core i7,2000,256,AMD,Others/No OS/Linux
Dell,Ultrabook,8,Windows 10,1.23,1399,NormalScreen,No,165.6321181,Intel Core i5,0,256,Intel,Windows
Lenovo,2 in 1 Convertible,16,Windows 10,1.4,1849,TouchScreen,Yes,316.9650604,Intel Core i7,0,512,Intel,Windows
Toshiba,Notebook,8,Windows 10,2,793,NormalScreen,No,100.4546699,Intel Core i5,0,128,Intel,Windows
Xiaomi,Notebook,8,No OS,1.95,1199,NormalScreen,Yes,141.2119981,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
Dell,Notebook,16,Windows 10,2.77,1549,TouchScreen,No,127.3356746,Intel Core i7,0,512,Nvidia,Windows
Dell,Notebook,16,Windows 10,2.06,2397,TouchScreen,No,282.4239962,Intel Core i7,0,512,Nvidia,Windows
Lenovo,Gaming,8,No OS,2.4,779,NormalScreen,Yes,141.2119981,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
Acer,Ultrabook,8,Windows 10,1.12,989,NormalScreen,Yes,165.6321181,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,Windows 10,2.8,1085,NormalScreen,No,127.3356746,Intel Core i7,1000,128,AMD,Windows
Lenovo,2 in 1 Convertible,16,Windows 10,1.42,2824,TouchScreen,No,209.8006829,Intel Core i7,0,1000,Intel,Windows
Vero,Notebook,4,Windows 10,1.3,260,NormalScreen,Yes,157.3505121,Other Intel Processor,0,0,Intel,Windows
Xiaomi,Ultrabook,8,No OS,1.3,999.9,NormalScreen,Yes,165.6321181,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
Lenovo,Notebook,8,No OS,2.8,698,NormalScreen,No,106.1130621,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
Dell,2 in 1 Convertible,8,Windows 10,1.62,839,TouchScreen,Yes,165.6321181,Intel Core i7,1000,0,Intel,Windows
HP,Notebook,8,Windows 10,2.5,914,NormalScreen,Yes,127.3356746,Intel Core i5,1000,0,Nvidia,Windows
Razer,Gaming,32,Windows 10,3.49,6099,TouchScreen,No,254.6713491,Intel Core i7,0,1000,Nvidia,Windows
HP,Notebook,8,Windows 10,1.49,959,NormalScreen,No,165.6321181,Intel Core i5,0,512,Intel,Windows
HP,Gaming,16,Windows 10,3.35,1379,NormalScreen,Yes,127.3356746,Intel Core i7,1000,256,Nvidia,Windows
HP,Notebook,8,Windows 10,2.5,1045,NormalScreen,No,127.3356746,Intel Core i7,0,256,Nvidia,Windows
Dell,Gaming,16,Windows 10,2.65,1845,NormalScreen,Yes,282.4239962,Intel Core i7,1000,512,Nvidia,Windows
Lenovo,Notebook,4,Windows 10,2.1,493,NormalScreen,No,100.4546699,Intel Core i5,0,128,Intel,Windows
Acer,Notebook,8,Windows 10,2.23,742,NormalScreen,No,141.2119981,Intel Core i7,1000,0,Nvidia,Windows
Lenovo,Gaming,16,Windows 10,3.2,1749,NormalScreen,Yes,141.2119981,Intel Core i7,1000,512,Nvidia,Windows
Dell,Workstation,16,Windows 10,2.8,3055,NormalScreen,No,282.4239962,Other Intel Processor,1000,256,Nvidia,Windows
Lenovo,Gaming,16,No OS,2.4,1398,NormalScreen,No,141.2119981,Intel Core i7,0,512,Nvidia,Others/No OS/Linux
Dell,Notebook,6,Windows 10,2.3,439,TouchScreen,No,100.4546699,Intel Core i3,1000,0,Intel,Windows
Dell,Ultrabook,8,Windows 10,1.21,1949,TouchScreen,Yes,331.2642361,Intel Core i7,0,256,Intel,Windows
Dell,Ultrabook,8,Windows 10,1.2,1449,NormalScreen,No,165.6321181,Intel Core i7,0,256,Intel,Windows
Lenovo,Notebook,8,Windows 10,2.2,597,NormalScreen,No,100.4546699,Intel Core i5,0,256,Intel,Windows
Acer,Notebook,8,Linux,2.4,779,NormalScreen,No,141.2119981,Intel Core i7,1000,0,Nvidia,Others/No OS/Linux
Asus,Gaming,16,Windows 10,2.9,1407,NormalScreen,No,127.3356746,Intel Core i7,1000,256,Nvidia,Windows
HP,Notebook,4,No OS,2.1,349,NormalScreen,No,141.2119981,Intel Core i3,500,0,Intel,Others/No OS/Linux
Lenovo,Notebook,8,No OS,2.2,549,NormalScreen,No,141.2119981,Intel Core i5,0,256,Intel,Others/No OS/Linux
Huawei,Ultrabook,8,Windows 10,1.05,1499,NormalScreen,Yes,199.6920706,Intel Core i7,0,512,Intel,Windows
Dell,Ultrabook,8,Windows 10,1.4,931.88,NormalScreen,Yes,165.6321181,Intel Core i7,0,256,AMD,Windows
Lenovo,Notebook,8,No OS,2.8,589,NormalScreen,No,106.1130621,Intel Core i5,1000,0,Nvidia,Others/No OS/Linux
HP,Notebook,8,Windows 10,1.63,1031,NormalScreen,No,157.3505121,Intel Core i7,0,256,Nvidia,Windows
Dell,Ultrabook,8,Windows 10,1.6,1149,NormalScreen,No,157.3505121,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,16,Windows 10,1.62,1279,TouchScreen,No,165.6321181,Intel Core i7,0,512,Intel,Windows
Dell,Notebook,8,Linux,2.2,677.35,NormalScreen,No,141.2119981,Intel Core i5,0,256,AMD,Others/No OS/Linux
Lenovo,2 in 1 Convertible,8,Windows 10,1.74,899,NormalScreen,Yes,157.3505121,Intel Core i5,0,256,Intel,Windows
Toshiba,Ultrabook,8,Windows 10,1.2,1363,NormalScreen,No,165.6321181,Intel Core i7,0,256,Intel,Windows
